,size,year,garage
0,159.0,2003,2
1,117.0,1976,2
2,166.0,2001,2
3,160.0,1915,3
4,204.0,2000,3
5,127.0,1993,2
6,157.0,2004,2
7,194.0,1973,2
8,165.0,1931,2
9,100.0,1939,1
10,97.0,1965,1
11,216.0,2005,3
12,85.0,1962,1
13,139.0,2006,3
14,116.0,1960,1
15,79.0,1929,2
16,93.0,1970,2
17,120.0,1967,2
18,103.0,2004,2
19,124.0,1958,1
20,221.0,2005,3
21,103.0,1930,1
22,167.0,2002,2
23,98.0,1976,2
24,98.0,1968,1
25,149.0,2007,3
26,84.0,1951,2
27,158.0,2007,3
28,149.0,1957,1
29,48.0,1927,1
30,122.0,1920,1
31,114.0,1966,1
32,115.0,2007,2
33,158.0,1959,2
34,145.0,2005,2
35,228.0,2004,3
36,102.0,1994,2
37,120.0,1954,2
38,98.0,1953,1
39,107.0,1955,0
40,123.0,1965,2
41,123.0,1959,1
42,82.0,1983,2
43,87.0,1975,1
44,107.0,1959,1
45,163.0,2005,2
46,200.0,2003,2
47,154.0,2006,3
48,135.0,1920,0
49,89.0,1966,1
50,137.0,1997,2
51,109.0,1934,2
52,76.0,1963,2
53,171.0,1981,3
54,126.0,1955,2
55,132.0,1964,2
56,162.0,1999,2
57,160.0,2004,2
58,274.0,2006,3
59,72.0,1972,1
60,108.0,2004,2
61,103.0,1920,1
62,127.0,2006,2
63,159.0,1921,2
64,189.0,1997,2
65,230.0,2004,3
66,205.0,1970,2
67,137.0,2003,2
68,69.0,1945,1
69,212.0,1953,2
70,207.0,1973,2
71,79.0,1982,2
72,160.0,1998,2
73,101.0,1954,2
74,149.0,1915,1
75,92.0,1973,1
76,88.0,1956,1
77,119.0,1948,1
78,164.0,1968,0
79,114.0,1910,2
80,199.0,1968,1
81,124.0,1998,2
82,145.0,2007,3
83,99.0,1960,2
84,137.0,1995,2
85,225.0,1991,2
86,145.0,2005,2
87,114.0,2009,2
88,142.0,1915,0
89,92.0,1994,0
90,97.0,1950,2
91,115.0,1961,2
92,90.0,1921,2
93,213.0,1910,2
94,166.0,1997,2
95,137.0,1993,2
96,148.0,1999,2
97,89.0,1965,1
98,78.0,1920,1
99,114.0,1959,0
100,150.0,1977,2
101,161.0,1985,2
102,143.0,1979,2
103,114.0,2009,3
104,169.0,1931,1
105,185.0,2003,2
106,97.0,1885,1
107,73.0,1948,1
108,141.0,1919,0
109,171.0,1977,2
110,172.0,1954,1
111,133.0,2000,2
